Customer_Age,Gender,Dependent_count,Marital_Status,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown
36,0,0,1,0,24,4,3,2,2570.0,2230,0.686,1755,42,0.448,0.868,False,False,False,False,False,True,False,False,False,True,False
44,1,3,2,3,36,5,2,3,25276.0,0,0.849,2282,38,0.583,0.0,False,False,True,False,False,False,False,True,False,False,False
46,1,2,1,0,30,6,3,1,11670.0,915,0.892,4277,89,0.854,0.078,False,False,True,False,False,False,False,False,True,False,False
36,0,2,1,0,24,3,1,3,3124.0,1593,0.869,1652,41,0.367,0.51,False,True,False,False,False,False,False,False,False,True,False
50,1,1,2,0,40,4,2,3,34516.0,1185,0.725,3874,72,0.714,0.034,False,True,False,False,False,False,False,False,False,False,False
43,1,3,2,0,30,3,2,4,11336.0,0,0.691,1809,39,0.345,0.0,False,False,False,False,True,False,False,False,True,False,False
42,0,3,1,0,33,2,3,1,3794.0,1544,0.72,7872,80,0.538,0.407,False,True,False,False,False,False,False,False,False,True,False
48,0,3,0,0,36,4,3,3,2335.0,1845,0.537,1362,33,0.269,0.79,False,False,False,False,False,False,False,False,False,True,False
29,1,1,0,0,36,4,3,2,3839.0,1139,0.632,14791,124,0.771,0.297,False,True,False,False,False,False,False,False,False,True,False
55,0,2,2,3,47,3,3,1,13565.0,0,0.56,3705,69,0.917,0.0,False,True,False,False,False,False,False,False,False,True,False
53,0,4,1,0,37,6,2,2,3719.0,2517,0.666,2587,43,0.536,0.677,True,False,False,False,False,False,False,False,False,True,False
48,0,4,1,0,41,3,3,3,2447.0,1267,0.449,2132,37,0.37,0.518,False,False,False,False,False,True,False,False,False,True,False
56,0,3,1,0,41,5,4,1,1438.3,0,0.796,3778,72,1.118,0.0,False,True,False,False,False,False,False,False,False,True,False
39,1,5,1,0,29,3,3,4,34198.0,1804,0.934,4270,59,0.639,0.053,False,False,False,False,False,False,False,False,True,False,False
50,0,2,1,0,36,5,4,1,2428.0,2005,0.835,5170,68,0.659,0.826,False,False,False,False,False,False,True,False,False,False,False
45,1,4,3,1,39,5,1,2,23981.0,1684,0.736,4141,73,0.521,0.07,False,False,False,False,False,True,True,False,False,False,False
47,0,3,3,0,34,5,1,4,18064.0,2039,0.89,4435,88,0.796,0.113,False,True,False,False,False,False,False,False,False,False,True
43,1,5,1,0,36,6,2,4,2621.0,598,0.967,4852,85,0.771,0.228,False,False,False,False,True,False,False,True,False,False,False
46,0,3,1,0,41,4,1,1,1489.0,949,0.65,4669,94,0.741,0.637,False,False,False,False,False,False,False,False,False,True,False
46,0,3,1,0,29,5,1,1,2228.0,1449,0.61,4382,83,0.694,0.65,False,False,False,False,True,False,False,False,False,True,False
65,1,1,2,0,54,3,1,3,4599.0,1438,0.832,4208,69,0.865,0.313,False,False,True,False,False,False,False,False,False,True,False
32,0,1,1,0,22,3,2,3,3413.0,2517,0.984,4355,71,0.919,0.737,False,False,True,False,False,False,False,False,False,False,True
54,0,3,1,0,36,6,2,4,2556.0,2260,0.487,1401,30,0.579,0.884,False,False,False,False,False,True,False,False,False,True,False
37,1,2,2,0,21,5,2,2,3433.0,964,0.526,4444,87,0.642,0.281,False,False,True,False,False,False,False,True,False,False,False
49,0,5,1,0,35,5,2,1,11115.0,1292,0.797,3956,74,0.609,0.116,False,True,False,False,False,False,True,False,False,False,False
50,1,1,1,0,33,5,3,2,17158.0,1211,0.778,4153,91,0.685,0.071,False,False,False,False,False,False,False,False,True,False,False
34,1,3,1,0,26,4,3,3,3265.0,2517,0.952,1843,35,0.944,0.771,False,False,True,False,False,False,False,True,False,False,False
53,1,3,1,0,36,3,3,1,11450.0,2129,0.956,2197,45,0.957,0.186,False,False,False,False,True,False,False,False,True,False,False
51,0,0,1,0,32,4,2,3,1757.0,331,0.879,2377,47,0.516,0.188,False,True,False,False,False,False,False,False,False,True,False
49,0,4,1,0,36,6,3,3,1438.3,0,0.782,2170,41,0.464,0.0,False,False,False,False,True,False,False,False,False,True,False
47,1,2,1,3,35,2,1,1,34516.0,1349,0.674,8582,106,0.767,0.039,False,False,False,False,False,False,False,True,False,False,False
41,0,3,1,0,36,6,6,4,2873.0,1247,0.889,3943,80,0.702,0.434,False,True,False,False,False,False,False,False,False,True,False
46,1,1,1,0,36,2,3,2,17698.0,1769,0.623,8056,95,0.583,0.1,False,False,False,False,True,False,False,False,True,False,False
46,0,4,1,0,32,2,1,1,5798.0,680,0.708,5027,82,0.64,0.117,False,True,False,False,False,False,False,False,False,False,True
37,0,1,2,0,32,6,3,3,9661.0,0,0.926,2825,60,0.818,0.0,False,False,False,False,False,True,False,False,False,True,False
34,0,4,2,3,26,2,2,2,32056.0,1668,0.771,12595,106,0.683,0.052,False,False,True,False,False,False,False,False,False,False,True
36,0,1,1,0,29,4,2,3,1493.0,0,0.721,2516,63,0.575,0.0,False,True,False,False,False,False,False,False,False,True,False
35,0,2,1,0,36,4,3,4,3454.0,1603,1.078,1575,41,0.519,0.464,False,True,False,False,False,False,True,False,False,False,False
48,1,3,1,0,37,3,3,2,11959.0,1665,0.675,1191,40,0.481,0.139,False,False,False,False,False,False,False,True,False,False,False
38,0,1,2,0,26,5,2,4,3554.0,0,0.782,2372,44,0.63,0.0,False,False,True,False,False,False,False,False,False,True,False
44,0,4,2,0,24,6,3,2,2717.0,1720,0.869,4196,71,0.614,0.633,False,False,False,False,True,False,False,False,False,False,True
45,1,4,0,0,39,5,3,4,14290.0,1432,0.815,14709,125,0.689,0.1,False,False,True,False,False,False,False,False,True,False,False
51,1,3,1,0,39,1,2,1,7088.0,1750,0.618,4691,76,0.727,0.247,False,True,False,False,False,False,False,False,True,False,False
55,0,1,3,0,36,4,2,2,3552.0,2517,0.865,2665,36,0.333,0.709,False,True,False,False,False,False,False,False,False,True,False
30,1,1,1,0,18,5,1,3,4726.0,1380,0.622,1723,31,0.55,0.292,False,False,False,False,False,True,True,False,False,False,False
43,1,2,3,0,30,4,2,1,18008.0,2517,0.775,2659,55,0.833,0.14,False,False,True,False,False,False,False,False,True,False,False
39,1,3,2,0,36,5,3,4,2527.0,2204,0.9,4598,85,0.771,0.872,False,True,False,False,False,False,False,True,False,False,False
